,label,data,x,y
0,0,Doctors worried Bharat Shah's poor health,-0.2626360063954651,0.3555375107332142
1,1,Lottery prize yields pittance; says CAG report,-0.039350552930012515,-0.5255448664911829
2,0,MES refuses bury border hatchet,0.7557427274771049,-0.20608395554991069
3,1,CPM; CPI flay move requisition TN IPS officers,-0.0821434611609236,0.47430315899462083
4,0,Commemorative Stamp Shri Dwarka Prasad Mishra,-0.10485240794670261,-0.7654397185272914
5,0,No Janmashtami fair Bhuj year,0.29852809491273546,-0.7198486488134508
6,0,Central team report today: Venkaiah,-0.15409009138268906,0.32770669744542025
7,2,CPM pooh-poohs ministers' visit,0.09915416080778294,0.4784220415491323
8,0,HC open direct blood donation,0.17232374151321736,0.7050338461009257
9,0,Kinetic venture auto ancillaries,0.5276771775253095,-0.5838422215274225
10,0,University toys disaster mgmt course,-0.3511163634412761,-0.6944394787574074
11,0,Clay idols brisk business,-0.5703412713333955,0.5429725723318988
12,0,Rivals clash campus,-0.6089175879784835,-0.4830383690392561
13,2,Wine; dine 'n'meet stars,0.25779597369953977,-0.0016231272772827192
14,0,Mobile users feel pinch WiLL testing,-0.5694508503076564,0.4183234664028034
15,0,IPO infuse new life ABCL,0.39056150900371517,-0.5843996993131791
16,2,CBI files affidavit Latvians' release,0.36102345033193434,0.41886865142101654
17,0,Of Dreams reality,0.6631394132238074,-0.3966709209010317
18,1,IB fears Advani; Priyanka hit-list,0.19874007106673242,-0.5120843831796241
19,0,Indian colts leave Australia,-0.7266717417831308,0.16242309333247765
20,0,Excess tobacco waste: CM,-0.4869715061873251,-0.30828694713633653
21,0,New train Patna Rajgir,-0.6784812562285069,-0.015070092876517163
22,0,Senior citzens felicitated,0.20228775737259924,0.759447019793968
23,0,Govt revamp Roerich trust,-0.4698557335531102,0.5785365329762686
24,0,CM lay stone Maliya canal today,0.4450173340835191,0.5799422333999131
25,0,A wider reach,-0.3229961023635273,-0.7183125166438726
26,0,India gains Doha: Maran,0.3559580779899157,0.08676051338890642
27,0,Laloo let fraud go intentionally: CBI,-0.15038693033423597,-0.5495276331050859
28,0,Complicated calculations,-0.7534169591383247,-0.23944170764503941
29,0,IAS officer's wife suffers burns,-0.5550251602368456,-0.09352263424046643
30,2,Death child fail evoke authorities' reaction,0.5534653619555802,0.0472027334649193
31,2,Cityscan: 'Face-to-Face',-0.12403921784713746,0.2463829972256752
32,0,Inconsistency Inc.,-0.29307766151482423,0.7272547905620292
33,0,Bhattarai undertake week-long visit India,0.6673537919604027,0.2838511707391916
34,0,Case flat 20 per cent import duty,0.37497226864484295,-0.6058617686182481
35,0,Lost & found stories wash shores,0.505529700516442,-0.5526082226656882
36,1,Grace; beauty Miss India finals,0.03653807766945445,-0.24251156535425208
37,0,A treasure house manuscripts,0.7745134275030405,-0.11960501973626052
38,0,Saffron alliance faces tough competition Cong: Survey,-0.14451376990063397,0.48567502697097253
39,0,Kamal Nath state tomorrow,-0.7619760787722493,0.028962378735160815
40,0,Sadashiva panel begins hearing STF atrocities,0.6490633645201062,0.39443555339808384
41,0,Career coffee cup,-0.5371667256351298,0.5754793867371859
42,0,Kirti Azad meet BCCI chief Dalmiya tomorrow,0.5680431994414116,0.4842979342141731
43,0,Uneasy uncertainty Lajpat Nagar,0.5966265290331372,-0.5175334002631724
44,0,A roar wild,-0.6777377841052121,0.4012577872480326
45,1,GEB cashier attacked; Rs 50;000 looted,-0.05722847737801324,-0.18174871537150034
46,1,Merger logical; boost HPCL; BPCL bid: Analysts,0.06899642198964412,-0.1968441121454104
47,0,Bengal political tradition ensures amity,0.7222714572701823,0.3013715075114006
48,0,BJP offers speaker TDP,0.6185141132889649,0.37380818685590483
49,0,KSRTC bus station gets public-friendly,-0.05417857674567816,0.7849365477477821
50,1,Godhuli 100; Gurudutt upbeat,-0.18108108709502682,-0.5282225429393428
51,0,Ban Sangh Parivar outfits: Christian council,-0.5302564000434804,-0.30166601042930247
52,0,HC disposes writ absorption,0.09375898342109588,-0.7598592917048019
53,1,Longer takes; better Mayawati,0.21573973303658997,-0.4429761923709955
54,0,Bhambri clash Goutam,0.2976409846222058,0.7274534492965652
55,1,14;000 pouches liquor seized,-0.3709468506974564,-0.0578352380534601
56,0,Rallies mark May Day celebrations,0.5316055050379405,-0.37178167899552317
57,0,NY falls love Aamir Khan,-0.18098380432249778,0.7163187105958587
58,0,Robert Miles plays Mumbai chord,-0.5303170861376517,-0.5647533318979053
59,0,Police depts logger heads Sidhu case,-0.35079023019478683,-0.5978066722971429
60,1,Karol Bagh lose trees; one-way traffic plan likely,-0.15593681104872137,-0.5092191108370812
61,0,Will journalist pen fall sword Uncle Sam?,-0.5144854546002773,0.5341518733713847
62,0,Decision trial date Parliament attack today,-0.5618858332745117,0.3794304464805697
63,1,All aboard; touts ahoy!,0.2432584234186262,-0.27312293558850903
64,0,HC dismisses PIL President post,0.6105329429447199,-0.37611052328400396
65,0,Ajit Singh rules ban Bt cotton seeds,0.4560330727790541,-0.6091676361023297
66,0,CM takes dig communists,0.2719886320349878,-0.7077488529024829
